STATION,lat,lon,wiki
SARATOGA AVENUE,40.661531,-73.915586,https://en.wikipedia.org/wiki/Saratoga_Avenue_(IRT_New_Lots_Line)
ROCKAWAY AVENUE,40.67823,-73.910823,https://en.wikipedia.org/wiki/Rockaway_Avenue_(IND_Fulton_Street_Line)
JUNIUS STREET,40.663615,-73.90151,https://en.wikipedia.org/wiki/Junius_Street_(IRT_New_Lots_Line)
PENNSYLVANIA AVENUE,40.664722,-73.894129,https://en.wikipedia.org/wiki/Pennsylvania_Avenue_(IRT_New_Lots_Line)
VAN SICLEN AVENUE,40.665535,-73.888593,https://en.wikipedia.org/wiki/Van_Siclen_Avenue_(IRT_New_Lots_Line)
NEW LOTS AVENUE,40.666382,-73.882585,https://en.wikipedia.org/wiki/New_Lots_Avenue_(IRT_New_Lots_Line)
ST GEORGE TERMINAL,40.64333,-74.07417,https://en.wikipedia.org/wiki/St._George_Terminal
34TH STREET - HUDSON YARDS,40.7558389,-74.0019611,https://en.wikipedia.org/wiki/34th_Street%E2%80%93Hudson_Yards_(IRT_Flushing_Line)
FIFTH AVENUE & 60TH STREET,40.764909,-73.972554,
57TH STREET & 7TH AVENUE,40.765461,-73.980088,https://en.wikipedia.org/wiki/57th_Street%E2%80%93Seventh_Avenue_station
49TH STREET & 7TH AVENUE,40.760423,-73.983779,https://en.wikipedia.org/wiki/49th_Street_(BMT_Broadway_Line)
28TH STREET & BROADWAY,40.745298,-73.988772,https://en.wikipedia.org/wiki/28th_Street_(IRT_Lexington_Avenue_Line)
23RD STREET & 5TH AVENUE,40.741274,-73.989052,https://en.wikipedia.org/wiki/23rd_Street_(Manhattan)
59TH STREET/COLUMBUS CIRCLE,40.767997,-73.981934,https://en.wikipedia.org/wiki/59th_Street%E2%80%93Columbus_Circle_(New_York_City_Subway)
8TH STREET & BROADWAY,40.73058,-73.992418,
PRINCE STREET & BROADWAY,40.724202,-73.997812,https://en.wikipedia.org/wiki/Prince_Street_(BMT_Broadway_Line)
CITY HALL,40.71326,-74.00671,https://en.wikipedia.org/wiki/City_Hall_(IRT_Lexington_Avenue_Line)
CORTLANDT STREET,40.710996,-74.010753,https://en.wikipedia.org/wiki/WTC_Cortlandt_(IRT_Broadway%E2%80%93Seventh_Avenue_Line)
JAY ST-METROTECH,40.6936806,-73.9872333,https://en.wikipedia.org/wiki/Jay_Street%E2%80%93MetroTech_(New_York_City_Subway)
36TH AVENUE & 31ST STREET,40.756555,-73.929791,https://en.wikipedia.org/wiki/36th_Avenue_(BMT_Astoria_Line)
30TH AVENUE & 31ST STREET,40.766859,-73.921423,https://en.wikipedia.org/wiki/30th_Avenue_(BMT_Astoria_Line)
ASTORIA BLVD & 31ST STREET,40.769891,-73.918268,https://en.wikipedia.org/wiki/Astoria_Boulevard_station
DITMARS BLVD & 31ST STREET,40.776137,-73.910709,https://en.wikipedia.org/wiki/Astoria%E2%80%93Ditmars_Boulevard_station
82ND STREET-JACKSON HEIGHTS,40.7476306,-73.8838278,https://en.wikipedia.org/wiki/82nd_Street%E2%80%93Jackson_Heights_(IRT_Flushing_Line)
JUNCTION BLVD-ROOSEVELT AVE,40.749175,-73.8690972,https://en.wikipedia.org/wiki/Junction_Boulevard_(IRT_Flushing_Line)
CHURCH AVENUE,40.649606,-73.963308,https://en.wikipedia.org/wiki/Church_Avenue_(IND_Culver_Line)
DEKALB AVENUE,40.690254,-73.982277,https://en.wikipedia.org/wiki/DeKalb_Avenue_(BMT_lines)
METROPOLITAN AVENUE,40.712752,-73.951464,https://en.wikipedia.org/wiki/Metropolitan_Avenue/Lorimer_Street_(New_York_City_Subway)
145TH STREET,40.82404,-73.944769,https://en.wikipedia.org/wiki/145th_Street_station_(IND_lines)
125TH STREET,40.8052,-73.939,https://en.wikipedia.org/wiki/Harlem%E2%80%93125th_Street_station
